,title,category
0,“예식장 진작 잡을걸”…결혼비용 다시 상승세 전환,Economy
1,러시아산 나프타 2.7만톤 오늘 도착…LG화학 대산단지 투입(종합),Economy
2,"LG화학, 고부가 전자 소재 ‘더블업’…2030년 매출 2조 키운다",Economy
3,"공정위, ‘담합 의혹’ 페인트 회사들 현장 조사 착수",Economy
4,'자사주 공시' 전체 상장사로 확대…수량 관계없이 의무공시,Economy
5,하루 만에 휘발유 214원 인상? 산업부 장관 주유소 긴급 점검[자막뉴스],Economy
6,"LS전선, AI 전력망 수요 확대에 지난해 역대 최대 실적",Economy
7,KOFR 전환 속도전…CD금리 2030년 말 퇴출,Economy
8,"尹정부 시절 한국 상대적 빈곤율, OECD 9번째로 심각했다",Economy
9,"원/달러 환율, 1,520원 돌파…금융위기였던 2009년 3월 이후 처음",Economy
10,"MZ들 소맥 대신 하이볼 마신다더니…""술 안 마셔요"" 돌변 [트렌드+]",Economy
11,세금 혜택 보고 돌아왔더니…-12% 개미 '비명',Economy
12,"""트럼프 '협상'주장 못믿어""…브렌트유 한 때 배럴당 116달러",Economy
13,"""1명이 아파트 247채 굴리며 세금은 회피""‥임대사업자 15곳 전격 세무조사",Economy
14,"""월요일만 되면 악재가 한 번에""‥3월 증시에서 증발한 시가총액 687조 원",Economy
15,아파트 200여채 굴리며 탈세…임대업자 세무조사,Economy
16,다주택·임대업자에 칼 뽑았다…2800억 탈루 겨냥 세무조사,Economy
17,제일 선방한 포스코가 -10% 찍고 찔끔…그룹주 ETF ‘잔인한 3월’,Economy
18,"대부업으로 시작해 지방銀 주요주주 꿰차…OK, 금융 다크호스로",Economy
19,홍해·호르무즈 동시봉쇄 위기…韓 수출·공급망 다 막힐라,Economy
20,삼성 ‘파격보상’ 제시에도 노조 ‘손사래’… 총파업 현실화 되나,Economy
21,"서울아파트 다섯 채 이상 임대업자 탈탈 턴다…국세청까지 ""집 팔아라"" 총력전",Economy
22,"“비교적 저렴했는데”…기름값 급등한 고속도로 알뜰주유소, 왜?",Economy
23,"""인플레보다 성장둔화 우려""…전세계 국채 수익률 하락 전환",Economy
24,"타이밍 절묘했던 차환…신한서부티엔디, 광화문G타워 리파이낸싱 '안도'",Economy
