,title,category
0,"서울시 ""민주당, 유람선 멈춤 빌미로 정치공세""",Social
1,"기후장관 ""종량제 봉투, 수급 문제도 가격 인상도 없을 것""",Social
2,서귀포 교육국제화특구 전국 상위 5곳 들었다,Social
3,"한양여대 화재로 100명 대피…경찰, 방화 용의자 붙잡아 조사",Social
4,"NHN와플랫, ‘늘편한 AI케어’ 성과 공개… “AI 기반 통합돌봄 확산 추진”",Social
5,"남양주시, 1000병상 종합병원 유치…복합의료타운 본격화",Social
6,"경기도, 4월부터 반려마루서 '반려동물 교감 활동 프로그램' 시작",Social
7,"‘영주권 얻은 뒤 용접일’ 60대 중국인, 4명 살리고 떠났다…“마음 따뜻한 사람”",Social
8,대구 로봇 특화단지 전략…'완결형 밸류체인'에 초점,Social
9,與전남광주통합시장 '격랑'…민형배·김영록·신정훈 3파전(종합),Social
10,"'20대 여성 틱토커 살해·시신유기' 50대 男, ""단죄 받아 마땅하다""더니⋯징역 40년에 '항소'",Social
11,"""재혼 대신 '리얼돌'과 살면 어때?"" 돌싱에게 물으니…뜻밖 결과",Social
12,[기자수첩] 퇴직연금 수수료 몇만 원일까…숫자로 직접 본다,Social
13,"“쯔양 ‘먹고 토하기’ 봤다” 허위사실 제보자, 대학 동창이었다…벌금형 약식명령",Social
14,"""이럴 땐 어떡해야 해?""...부천 유치원교사 사망 전 메시지",Social
15,'성범죄 전과 의혹' 번역가 황석희…SNS에 입장 밝혔다,Social
16,국민의힘 경북지사 경선 '진흙탕' 공방…토론 앞두고 난타전,Social
17,"""5천만원 투자사기 신고하자 인분 투척""…인천서도 피해 신고",Social
18,“어디서 새치기야” 차량 몰린 주유소 ‘칼부림’까지 벌어졌다 [세상&],Social
19,[자막뉴스] 성폭행범에 웬 '저명인사 명예보호'? 10년 내내 독방 '특혜' 받은 JMS,Social
20,'대북 송금' 수사 검사 반발에 녹취 추가 공개 예고…진실게임 돌입,Social
21,"""사재기 안해도 된다""…정부, 종량제 봉투 부족할 땐 일반 봉투 허용",Social
22,"이 대통령, ‘제2공항’ 즉석 찬반 묻고 “여러분이 잘 판단하시라”···장외선 찬반 단체 집회",Social
23,"고유가에 화물차 기사들 한숨만...""멈춰야 할 수도""",Social
24,“내 BMW 바퀴 통째로 사라져”...인천 주차장서 벌어진 황당한 일,Social
25,출발한 열차 문 두드리며 따라가다…90대 선로 추락해 참변,Social
26,2026북중미 월드컵도 제대로 못 볼까…중계권 독점JTBC와 지상파 3사 협상 난항,Social
27,"서울시, 광화문광장 ‘받들어총’ 조형물 4월 말까지 설치한다",Social
28,중학생에 '길거리 흡연' 지적했다가...되레 신고당한 명현만 [지금이뉴스],Social
29,홍대 인형뽑기방 5곳 턴 10대 일당 검거…현금 1600만원 훔쳐,Social
30,"신정훈, 강기정 꺾고 단일후보…與 전남광주시장 3강 재편(종합)",Social
31,"입학식 날 화장실서 집단 폭행, 영상 올린 여중생들 송치",Social
32,"[단독] 서울대, AI 석학 5명 데려온다…연봉 3억 걸고 AX '대수술'",Social
